NOMBRE_ESTADO,Estrato,NoMun,LNE_estrato,%LNE_estrato,CP1_estrato,CP2_estrato,CP3_estrato,,
AGUASCALIENTES,G1,7,861734,89%,-1.458,0.908,-0.714,,0.893580309
,G2,4,102627,11%,-0.374,-0.574,-0.347,964361,0.106419691
BAJA CALIFORNIA,G0,1,399621,14%,-2.395,-0.022,1.689,,
,G1,3,972264,35%,-2.044,1.125,0.167,,
,G3,1,1435734,51%,-9.092,6.307,1.612,,
BAJA CALIFORNIA SUR,G0,3,301361,56%,-0.477,-0.442,1.534,,
,G1,1,221022,41%,-0.861,0.852,1.282,,
,G2,1,11866,2%,-0.225,-1.137,-0.773,,
CAMPECHE,G0,6,514315,80%,-0.888,-0.579,0.538,,
,G2,5,130918,20%,-0.409,-0.394,0.094,,
CHIAPAS,G0,29,1642826,45%,-0.103,-0.143,1.041,,
,G1,16,601305,17%,-0.976,1.293,-0.944,,
,G2,64,1296831,36%,-0.085,-0.571,-0.468,,
,G4,9,100256,3%,2.284,2.145,-0.745,,
CHIHUAHUA,G0,32,663423,24%,0.704,0.314,1.225,,
,G1,5,753414,27%,-1.076,0.761,0.256,,
,G2,24,229469,8%,0.103,-0.528,-0.439,,
,G3,1,1097905,39%,-6.131,4.782,1.570,,
,G4,5,38382,1%,3.477,2.753,2.084,,
CIUDAD DE MEXICO,G1,7,1967453,26%,-3.017,2.227,-0.928,,
,G3,9,5630106,74%,-7.656,6.711,-2.097,,
COAHUILA,G0,24,767264,35%,0.721,0.403,0.817,,
,G1,4,1235187,56%,-1.917,0.982,1.176,,
,G2,5,185782,8%,0.491,-0.033,-0.472,,
,G4,5,9487,0%,2.378,1.733,0.198,,
COLIMA,G0,3,104007,19%,0.050,-0.158,0.769,,
,G1,3,364430,68%,-1.252,0.914,0.138,,
,G2,4,67433,13%,-0.096,-0.136,-0.091,,
DURANGO,G0,6,147296,12%,0.714,-0.314,0.931,,
,G1,4,766015,60%,-1.938,0.234,0.533,,
