EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
1,AGUASCALIENTES,10,SAN FRANCISCO DE LOS ROMO,3,34917.0,3566.0245471072844,0.9892716837413312,0.0374981429208141,0.0089025638543786,0.0177330472228595,0.9709136635627342,-0.2908266404620893,1.3043697139226684,-0.4705422839829626,1.2496917651911648,-0.9853889140365072,0.3433945056137232,-0.8830194599689731,G1,Tipica
1,AGUASCALIENTES,8,SAN JOSE DE GRACIA,4,6914.0,46.44442082231164,0.991803408929023,0.0002893518518518,0.0023557272942108,0.0088873117750216,0.9516873162442828,-0.2150215575073458,-0.9763965179404368,-0.4239189727908438,1.3869891636623737,-1.2602669158691056,-0.6253957601562591,0.3042957338079009,G2,Tipica
1,AGUASCALIENTES,9,TEPEZALA,6,15545.0,2478.6754124935565,0.9906353256276796,0.0051079787921893,0.0050700215110606,0.0119205641333645,0.8325753215439927,-0.5974347753668594,0.0719778189953523,-0.7162788378083415,1.371427812287875,-0.870282353002209,-0.3096555094237446,-0.6478315895686981,G1,Tipica
1,AGUASCALIENTES,11,EL LLANO,6,15067.0,1505.7495519103898,0.9910163386198628,-0.0033734620981611,0.0047682343617367,0.0142316007648233,0.9627026413393396,-0.3826815203855269,-0.2789366024010211,-0.606073528831875,1.675444579585722,-0.9968783385384976,-0.4625729192589194,-0.2893893580450913,G2,Tipica
1,AGUASCALIENTES,2,ASIENTOS,11,34222.0,1484.722550881974,0.989079872113203,0.0018736459980092,0.004823729455923,0.0153965662500723,0.8372353070461065,-0.4284000201891214,-0.2321136902073903,-0.3206116455500877,1.5336384134672918,-0.4328504934305731,-0.508456295049494,-0.3352649789754293,G2,Tipica
1,AGUASCALIENTES,3,CALVILLO,14,46424.0,370.179545166837,0.9911496521656052,-0.0061441630451071,0.0042045312487998,0.015719269115307,0.9514966387030342,-0.4684968052343518,-0.8088610362726194,-0.0367834436939771,1.9458933934558529,-0.5215897518464014,-0.5048592972087169,0.0509360630218446,G2,Tipica
1,AGUASCALIENTES,4,COSIO,2,11623.0,2695.9414552313247,0.989895850669894,-0.0024888431170614,0.0046107309498713,0.0134605475467589,0.9030287576329388,-0.5476977962938686,0.2232200330912858,-0.9877860834992912,1.3753803634464716,-1.0942794271325809,-0.5960497093251618,-0.6080516455496316,G1,Tipica
1,AGUASCALIENTES,5,JESUS MARIA,6,82404.0,2980.720064332236,0.9911337159774044,0.0130808950086058,0.005275601247676,0.0113570499238582,0.8127663938062232,-1.0701054782400103,0.5087996877862498,-0.6021191902848223,1.326352879009142,-0.776900232739916,-0.1309614269941067,-0.4360081237498056,G1,Tipica
1,AGUASCALIENTES,6,PABELLON DE ARTEAGA,5,31272.0,5176.676672362272,0.9928562557461952,0.0023398185839289,0.0036610620977593,0.0093609890059796,0.8125100693315562,-1.711365058014359,0.6933588932939032,-1.117652551919734,1.2049736557899025,-1.2234224447811903,-0.3781584173978665,-1.4993306951516845,G1,Tipica
1,AGUASCALIENTES,7,RINCON DE ROMOS,6,37605.0,3496.198849540612,0.99207913197021,0.0019183118855407,0.004400879166481,0.0121667637382212,0.914624113317225,-1.1474837816609609,0.3355857681358054,-0.781649083283799,1.479333508188826,-1.1040718361710653,-0.3702164180954085,-0.8854229305676997,G1,Tipica
1,AGUASCALIENTES,1,AGUASCALIENTES,9,648368.0,5716.694187942238,0.9907184444392284,0.0004706332563346,0.0043336754804942,0.0124197055836646,0.7074016671405224,-4.842460477610308,3.220714392871913,-0.3216502929055654,1.973269915429624,0.7190982984080927,-0.4072007299420437,1.850424588566289,G1,Atípica en ICE principal
2,BAJA CALIFORNIA,2,MEXICALI,41,789602.0,2196.052587116552,0.989305738683475,0.0035242727454122,0.0048730257109651,0.0151518911042613,0.8814444368164466,-4.987234698110863,2.087540323654328,2.2009709767893155,3.2527236603235807,2.609005032406784,-0.3888039714874381,2.889547236950266,G1,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,26,1435734.0,6592.51538975258,0.9889809900644216,0.0054666621846479,0.0052603995645219,0.013748992510608,0.795296402188006,-9.091774062699605,6.306996212545495,1.6123117842513202,3.4078696254687157,3.3651931466995904,-0.3744142470755009,5.642327101375784,G3,Tipica
2,BAJA CALIFORNIA,3,TECATE,3,85233.0,1700.5465487694437,0.9882333661288336,-0.0126041171904866,0.0052741076544953,0.020106376169751,0.8916304667660161,-0.5062292173769478,0.262615905755099,-0.8915633882247082,1.6947387442402082,-0.599975669428181,-0.7484475553832489,0.1578631303417185,G1,Tipica
2,BAJA CALIFORNIA,1,ENSENADA,37,399621.0,15.442451094543657,0.9885625739612708,0.0003279180955718,0.0042598592062658,0.0139868952311142,0.8182641073018122,-2.395104350260071,-0.0220613180181935,1.689323679474268,2.6422339235269034,1.7253319529142552,-0.5306861434833683,1.5097265029829503,G0,Atípica en ICE principal
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,2,97429.0,2955.1303051636864,0.9873434077973392,0.0080704404598081,0.0064246121170223,0.0158252386619974,0.8703661940590751,-0.6387795152601099,1.0259556831341117,-0.8074385430702642,1.357385867352107,-0.6004964821512448,-0.4629099362177708,-0.2119732369627358,G1,Tipica
3,BAJA CALIFORNIA SUR,1,COMONDU,24,53927.0,15.054280735835787,0.9867651992479328,0.0671006807028652,0.002254425990033,0.0242613014594495,0.7089704407684138,-0.2947865885484687,-0.6537433642295482,1.6026047770805525,0.3939243489045074,0.1628667415416209,-0.1984685222716453,-0.07360006159296,G0,Tipica
3,BAJA CALIFORNIA SUR,3,LA PAZ,28,206629.0,35.13576908089659,0.9897259074676352,0.0592447916666666,0.0031025236678671,0.0227466407722831,0.8444569331535277,-1.2817968592085405,-0.2857188775389183,1.934086026290255,1.1715029464318585,0.3899335774181769,0.0733195799793303,0.6770119651669572,G0,Tipica
3,BAJA CALIFORNIA SUR,5,LORETO,4,11866.0,5.183861513182083,0.9859787741263006,0.0497169143665958,0.0005215973829663,0.021144518668083,-0.4342360901394876,-0.225161984199861,-1.1374740911806167,-0.7732598810612071,-1.318672852431946,0.5572593174667071,-0.0441462833227662,0.4034147735265599,G2,Tipica
3,BAJA CALIFORNIA SUR,4,LOS CABOS,11,221022.0,742.3770736675127,0.9888475879426964,0.0803272919232799,0.0051706832965036,0.0305226387554311,0.908330261933345,-0.8608839917395911,0.8523848695388166,1.2817265317152384,0.6463057546099744,-0.3764003823389679,0.4386257771368708,1.058441093104972,G1,Tipica
3,BAJA CALIFORNIA SUR,2,MULEGE,17,40805.0,5.033360150135658,0.9824513257214064,0.0783562367864693,0.0021284383606483,0.0287024246127493,0.288920596654596,0.1448769981810299,-0.3862337772729728,1.065828614164648,-0.6175996902760732,0.6010712642596742,-0.2818982448864205,0.1053537013806378,G0,Tipica
4,CAMPECHE,8,TENABO,4,8120.0,1086.5744099807048,0.9898812373365328,0.0656167979002624,0.0030167952601839,0.0237731071482634,0.3676071991676169,-0.2602125636058569,-0.3182357396196881,-0.0650916829660276,-0.3464273723880575,-0.7022581503587044,0.3660620218267326,-0.0675837583116622,G2,Tipica
4,CAMPECHE,9,ESCARCEGA,15,40540.0,1995.1161555565209,0.9836395518980964,0.0629539316709929,0.0037756968038086,0.0218089067790422,0.4221385665082864,-0.2806799806966664,0.326381330084101,0.5245579840384458,-0.1451754791250699,0.3372605443073025,-0.25613337105431,-0.5913834077610083,G2,Tipica
4,CAMPECHE,5,HECELCHAKAN,7,22198.0,1305.1297940173934,0.989158624118374,0.0620544471556384,0.0026029806119845,0.0220763305136121,0.7759924667503394,-0.3119507347327199,-0.0666194151494701,0.4338700974232079,0.157372102341168,-0.9854841729972854,-0.0646924327312161,-0.165384626689335,G2,Tipica
4,CAMPECHE,6,HOPELCHEN,22,27491.0,27.44874393883324,0.9871576607318476,0.0520454632428915,0.0032941046500024,0.0215630392909007,0.2272507640275927,-0.2502818020083012,-0.9890717319248424,0.7376487259952018,0.1634093329156768,0.69366727891194,0.1044105018689813,-0.1789100137679571,G0,Tipica
4,CAMPECHE,11,CALAKMUL,17,19096.0,9.868203450992604,0.990263678178098,0.0167181343839846,0.0033422350356822,0.0088620912733744,-0.0433813717673533,-0.5475471595654999,-1.4948876566161018,-0.3856015694261155,0.4405167655997571,0.6882315907892868,0.1815343431034468,-0.0554605516044458,G2,Tipica
4,CAMPECHE,7,PALIZADA,9,7006.0,5.649768041127659,0.9834885279006276,0.0359307999408546,0.0032084462863057,0.0172592631741727,0.807953799554666,0.5237080676197157,-0.2927552357799656,0.3591447590756277,0.5367664271559967,-0.2994061632708569,-0.8579181286728582,0.1512137330359418,G0,Tipica
4,CAMPECHE,10,CANDELARIA,25,31875.0,125.22160208227402,0.985369332844772,0.0530227948463825,0.0036248809199279,0.0192513798378152,0.4093547635897903,-0.1166999878596078,-0.7591515252091018,1.0888817070688543,0.3808045687181073,0.7772148758810501,-0.1367317023118658,-0.2964325879178737,G0,Tipica
4,CAMPECHE,4,CHAMPOTON,25,64575.0,2216.8114692964814,0.9880843233232552,0.0563553083592344,0.0020150566929069,0.019771380558275,-0.2854760374886126,-1.42635569895533,-0.6624464674397793,0.3070808911870856,-0.5328447702961133,1.2739531481523334,0.3315169992738572,-0.8459683906033042,G0,Tipica
