EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,Estrato,Atipicidad
1,AGUASCALIENTES,1,AGUASCALIENTES,9,648368.0,5716.694187942238,0.9907184444392284,0.0004706332563346,0.0043336754804942,0.0124197055836646,0.7074016671405224,-4.842460477610308,3.220714392871913,-0.3216502929055654,1.973269915429624,0.7190982984080927,-0.4072007299420437,1.850424588566289,G1,Atípica en ICE principal
2,BAJA CALIFORNIA,4,TIJUANA,26,1435734.0,6592.51538975258,0.9889809900644216,0.0054666621846479,0.0052603995645219,0.013748992510608,0.795296402188006,-9.091774062699605,6.306996212545495,1.6123117842513202,3.4078696254687157,3.3651931466995904,-0.3744142470755009,5.642327101375784,G3,Tipica
3,BAJA CALIFORNIA SUR,3,LA PAZ,28,206629.0,35.13576908089659,0.9897259074676352,0.0592447916666666,0.0031025236678671,0.0227466407722831,0.8444569331535277,-1.2817968592085405,-0.2857188775389183,1.934086026290255,1.1715029464318585,0.3899335774181769,0.0733195799793303,0.6770119651669572,G0,Tipica
4,CAMPECHE,1,CAMPECHE,22,205770.0,3469.451373957026,0.9900814882630068,0.0468665737339614,0.0016881619835957,0.0171171220691003,0.0834290856933882,-2.523879853705571,0.3021655382778068,0.3474228664605513,0.109900948430982,0.8249654336697813,0.1264704300210618,-0.3639448366804091,G0,Atípica en ICE principal
5,COAHUILA,30,SALTILLO,37,589670.0,190.0773087767392,0.9881141135881888,0.0734564069329478,0.0050780877265261,0.0282735478556312,0.7904443040333108,-3.0697600797267666,1.3333269307648268,2.9965710112212656,1.737868837393465,1.9404141307958804,0.430368897796779,2.578019408827423,G1,Atípica en tercer ICE
6,COLIMA,5,VILLA DE ALVAREZ,4,101527.0,4134.640461808702,0.9881430567682292,0.0720568514197016,0.0029486724473331,0.0257290758870021,0.5170207659148104,-1.341737388663636,1.2320434117504373,-0.0507336259554819,-0.3901837864768855,-0.6931702272895283,0.0737070080295307,-0.6334302207580255,G1,Tipica
7,CHIAPAS,102,TUXTLA GUTIERREZ,0,444865.0,2690.244835715444,0.9899953378129668,0.0510715914272685,0.0021465240990392,0.0193884722948948,0.2433782369651768,-2.995578068405948,1.676226601554235,-0.2413545238764355,0.0530170253964711,0.2108784059103193,0.1566197456460333,2.1031330613801487,G1,Tipica
8,CHIHUAHUA,37,JUAREZ,7,1097905.0,3388.8805601628583,0.9875402321236164,0.0729891196525481,0.0030367127526537,0.027211677735906,0.6377883792137432,-6.131007039871463,4.781923377799151,1.5703125515309229,1.0963550002240523,1.6929494433274084,0.096761396413349,5.499845455804556,G3,Tipica
9,CIUDAD DE MEXICO,7,IZTAPALAPA,0,1463720.0,17230.453735445353,0.9883735921545502,0.0462496497538269,0.0017897256523281,0.0177827871480973,-0.1632901745066061,-12.048907600694548,9.917033898976522,-1.1427565397827724,0.2229499097641928,2.570150605589363,-0.204828790544863,2.83612678736896,G3,Tipica
10,DURANGO,5,DURANGO,54,475936.0,118.6993100326762,0.9910863774765404,-0.0071035025169972,0.002743289098033,0.01334373663139,0.6885333918653526,-3.546346015538814,-0.5709663161340183,2.4654984907174997,3.081441294795812,2.586182187104244,-0.4607657547413169,1.363380480169629,G1,Atípica en tercer ICE
11,GUANAJUATO,20,LEON,42,1137504.0,2515.161549523405,0.9892676746147376,0.0688647146211721,0.0028708874865087,0.0256697276652674,0.6590432664289951,-6.917115574052261,3.611347558159836,3.5358857541646014,2.2024421196164794,3.2967656340918605,0.2647071625592085,4.856365753992445,G3,Atípica en tercer ICE
